Year,Team,GM,HiLvl,MLB.Years,Stat.Years,W,L,WPct,Rank,Playoffs
1964,NYY,Ralph Houk,MLB,1947-1954,1947-1954,99,63,0.611,1,Lost World Series (Cardinals)
1963,NYY,Roy Hamey,---,"","",104,57,0.646,1,Lost World Series (Dodgers)
1962,NYY,Roy Hamey,---,"","",96,66,0.593,1,Won World Series (Giants)
1961,NYY,Roy Hamey,---,"","",109,53,0.673,1,Won World Series (Reds)
1960,NYY,George Weiss,---,"","",97,57,0.63,1,Lost World Series (Pirates)
1959,NYY,George Weiss,---,"","",79,75,0.513,3,dnq
1958,NYY,George Weiss,---,"","",92,62,0.597,1,Won World Series (Braves)
1957,NYY,George Weiss,---,"","",98,56,0.636,1,Lost World Series (Braves)
1956,NYY,George Weiss,---,"","",97,57,0.63,1,Won World Series (Dodgers)
1955,NYY,George Weiss,---,"","",96,58,0.623,1,Lost World Series (Dodgers)
1954,NYY,George Weiss,---,"","",103,51,0.669,2,dnq
1953,NYY,George Weiss,---,"","",99,52,0.656,1,Won World Series (Dodgers)
1952,NYY,George Weiss,---,"","",95,59,0.617,1,Won World Series (Dodgers)
1951,NYY,George Weiss,---,"","",98,56,0.636,1,Won World Series (Giants)
1950,NYY,George Weiss,---,"","",98,56,0.636,1,Won World Series (Phillies)
2021,OAK,David Forst,Indy,"",1998-1999,0,0,---,1,---
2020,OAK,David Forst,Indy,"",1998-1999,36,24,0.6,1,Lost in Division Series (Astros)
2019,OAK,David Forst,Indy,"",1998-1999,97,65,0.599,2,Lost AL Wild-Card Game (Rays)
2018,OAK,David Forst,Indy,"",1998-1999,97,65,0.599,2,Lost AL Wild-Card Game (Yankees)
2017,OAK,David Forst,Indy,"",1998-1999,75,87,0.463,5,dnq
2016,OAK,David Forst,Indy,"",1998-1999,69,93,0.426,5,dnq
2015,OAK,Billy Beane,MLB,1984-1989,1980-1989,68,94,0.42,5,dnq
2014,OAK,Billy Beane,MLB,1984-1989,1980-1989,88,74,0.543,2,Lost AL Wild-Card Game (Royals)
2013,OAK,Billy Beane,MLB,1984-1989,1980-1989,96,66,0.593,1,Lost in 1st Round (Tigers)
2012,OAK,Billy Beane,MLB,1984-1989,1980-1989,64,68,0.485,1,Lost in 1st Round (Tigers)
2011,OAK,Billy Beane,MLB,1984-1989,1980-1989,74,88,0.457,3,dnq
2010,OAK,Billy Beane,MLB,1984-1989,1980-1989,81,81,0.5,2,dnq
2009,OAK,Billy Beane,MLB,1984-1989,1980-1989,75,87,0.463,4,dnq
2008,OAK,Billy Beane,MLB,1984-1989,1980-1989,75,86,0.466,3,dnq
2007,OAK,Billy Beane,MLB,1984-1989,1980-1989,76,86,0.469,3,dnq
2006,OAK,Billy Beane,MLB,1984-1989,1980-1989,93,69,0.574,1,Lost ALCS (Tigers)
2005,OAK,Billy Beane,MLB,1984-1989,1980-1989,88,74,0.543,2,dnq
2004,OAK,Billy Beane,MLB,1984-1989,1980-1989,91,71,0.562,2,dnq
2003,OAK,Billy Beane,MLB,1984-1989,1980-1989,96,66,0.593,1,Lost in 1st Round (Red Sox)
2002,OAK,Billy Beane,MLB,1984-1989,1980-1989,103,59,0.636,1,Lost in 1st Round (Twins)
2001,OAK,Billy Beane,MLB,1984-1989,1980-1989,102,60,0.63,2,Lost in 1st Round (Yankees)
2000,OAK,Billy Beane,MLB,1984-1989,1980-1989,91,70,0.565,1,Lost in 1st Round (Yankees)
1999,OAK,Billy Beane,MLB,1984-1989,1980-1989,87,75,0.537,2,dnq
1998,OAK,Billy Beane,MLB,1984-1989,1980-1989,74,88,0.457,4,dnq
1997,OAK,Sandy Alderson,---,"","",65,97,0.401,4,dnq
1996,OAK,Sandy Alderson,---,"","",78,84,0.481,3,dnq
1995,OAK,Sandy Alderson,---,"","",67,77,0.465,4,dnq
1994,OAK,Sandy Alderson,---,"","",51,63,0.447,2,dnq
1993,OAK,Sandy Alderson,---,"","",68,94,0.42,7,dnq
1992,OAK,Sandy Alderson,---,"","",96,66,0.593,1,Lost ALCS (Blue Jays)
1991,OAK,Sandy Alderson,---,"","",84,78,0.519,4,dnq
1990,OAK,Sandy Alderson,---,"","",103,59,0.636,1,Lost World Series (Reds)
1989,OAK,Sandy Alderson,---,"","",99,63,0.611,1,Won World Series (Giants)
1988,OAK,Sandy Alderson,---,"","",104,58,0.642,1,Lost World Series (Dodgers)
1987,OAK,Sandy Alderson,---,"","",81,81,0.5,3,dnq
1986,OAK,Sandy Alderson,---,"","",76,86,0.469,4,dnq
1985,OAK,Sandy Alderson,---,"","",77,85,0.475,5,dnq
1984,OAK,Sandy Alderson,---,"","",77,85,0.475,4,dnq
1983,OAK,Sandy Alderson,---,"","",74,88,0.457,4,dnq
1982,OAK,Billy Martin,MLB,1950-1961,1950-1961,68,94,0.42,5,dnq
1981,OAK,Billy Martin,MLB,1950-1961,1950-1961,64,45,0.587,0,Lost ALCS (Yankees)
1980,OAK,Charlie Finley,---,"","",83,79,0.512,2,dnq
1979,OAK,Charlie Finley,---,"","",54,108,0.333,7,dnq
1978,OAK,Charlie Finley,---,"","",69,93,0.426,6,dnq
1977,OAK,Charlie Finley,---,"","",63,98,0.391,7,dnq
1976,OAK,Charlie Finley,---,"","",87,74,0.54,2,dnq
1975,OAK,Charlie Finley,---,"","",98,64,0.605,1,Lost ALCS (Red Sox)
1974,OAK,Charlie Finley,---,"","",90,72,0.556,1,Won World Series (Dodgers)
1973,OAK,Charlie Finley,---,"","",94,68,0.58,1,Won World Series (Mets)
1972,OAK,Charlie Finley,---,"","",93,62,0.6,1,Won World Series (Reds)
1971,OAK,Charlie Finley,---,"","",101,60,0.627,1,Lost ALCS (Orioles)
1970,OAK,Charlie Finley,---,"","",89,73,0.549,2,dnq
1969,OAK,Charlie Finley,---,"","",88,74,0.543,2,dnq
1968,OAK,Charlie Finley,---,"","",82,80,0.506,6,dnq
1967,KCA,Ed Lopat,MLB,1944-1955,1944-1955,62,99,0.385,10,dnq
1966,KCA,Ed Lopat,MLB,1944-1955,1944-1955,74,86,0.463,7,dnq
1965,KCA,Hank Peters,---,"","",59,103,0.364,10,dnq
1965,KCA,Pat Friday,---,"","",59,103,0.364,10,dnq
1964,KCA,Pat Friday,---,"","",57,105,0.352,10,dnq
1963,KCA,Pat Friday,---,"","",73,89,0.451,8,dnq
1962,KCA,Pat Friday,---,"","",72,90,0.444,9,dnq
1961,KCA,Frank Lane,---,"","",61,100,0.379,10,dnq
1960,KCA,Parke Carroll,---,"","",58,96,0.377,8,dnq
1959,KCA,Parke Carroll,---,"","",66,88,0.429,7,dnq
1958,KCA,George Selkirk,MLB,1934-1942,1934-1942,73,81,0.474,7,dnq
1957,KCA,George Selkirk,MLB,1934-1942,1934-1942,59,94,0.386,7,dnq
1953,PHA,Art Ehlers,---,"","",59,95,0.383,7,dnq
1952,PHA,Art Ehlers,---,"","",79,75,0.513,4,dnq
1951,PHA,Art Ehlers,---,"","",70,84,0.455,6,dnq
1950,PHA,Art Ehlers,---,"","",52,102,0.338,8,dnq
2021,PHI,Sam Fuld,MLB,2007-2015,2001-2015,0,0,---,3,---
2020,PHI,Matt Klentak,NCAA,"",1999-2002,28,32,0.467,3,dnq
2019,PHI,Matt Klentak,NCAA,"",1999-2002,81,81,0.5,4,dnq
2018,PHI,Matt Klentak,NCAA,"",1999-2002,80,82,0.494,3,dnq
2017,PHI,Matt Klentak,NCAA,"",1999-2002,66,96,0.407,5,dnq
2016,PHI,Matt Klentak,NCAA,"",1999-2002,71,91,0.438,4,dnq
2015,PHI,Ruben Amaro,MLB,1991-1998,1984-1998,63,99,0.389,5,dnq
2014,PHI,Ruben Amaro,MLB,1991-1998,1984-1998,73,89,0.451,5,dnq
2013,PHI,Ruben Amaro,MLB,1991-1998,1984-1998,73,89,0.451,4,dnq
2012,PHI,Ruben Amaro,MLB,1991-1998,1984-1998,81,81,0.5,3,dnq
2011,PHI,Ruben Amaro,MLB,1991-1998,1984-1998,102,60,0.63,1,Lost in 1st Round (Cardinals)
2010,PHI,Ruben Amaro,MLB,1991-1998,1984-1998,97,65,0.599,1,Lost in NLCS (Giants)
2009,PHI,Ruben Amaro,MLB,1991-1998,1984-1998,93,69,0.574,1,Lost World Series (NY Yankees)
2008,PHI,Pat Gillick,---,"","",92,70,0.568,1,Won World Series (Tampa Bay)
2007,PHI,Pat Gillick,---,"","",89,73,0.549,1,Lost in NLDS (Colorado)
2006,PHI,Pat Gillick,---,"","",85,77,0.525,2,dnq
2005,PHI,Ed Wade,---,"","",88,74,0.543,2,dnq
2004,PHI,Ed Wade,---,"","",86,76,0.531,2,dnq
2003,PHI,Ed Wade,---,"","",86,76,0.531,3,dnq
2002,PHI,Ed Wade,---,"","",80,81,0.497,3,dnq
2001,PHI,Ed Wade,---,"","",86,76,0.531,2,dnq
2000,PHI,Ed Wade,---,"","",65,97,0.401,5,dnq
1999,PHI,Ed Wade,---,"","",77,85,0.475,3,dnq
1998,PHI,Ed Wade,---,"","",75,87,0.463,3,dnq
1997,PHI,Lee Thomas,MLB,1961-1968,1961-1968,68,94,0.42,5,dnq
1996,PHI,Lee Thomas,MLB,1961-1968,1961-1968,67,95,0.414,5,dnq
1995,PHI,Lee Thomas,MLB,1961-1968,1961-1968,69,75,0.479,3,dnq
1994,PHI,Lee Thomas,MLB,1961-1968,1961-1968,54,61,0.47,4,dnq
1993,PHI,Lee Thomas,MLB,1961-1968,1961-1968,97,65,0.599,1,Lost World Series (Blue Jays)
1992,PHI,Lee Thomas,MLB,1961-1968,1961-1968,70,92,0.432,6,dnq
1991,PHI,Lee Thomas,MLB,1961-1968,1961-1968,78,84,0.481,3,dnq
1990,PHI,Lee Thomas,MLB,1961-1968,1961-1968,77,85,0.475,4,dnq
1989,PHI,Lee Thomas,MLB,1961-1968,1961-1968,67,95,0.414,6,dnq
1988,PHI,Woody Woodward,MLB,1963-1971,1963-1971,65,96,0.404,6,dnq
1987,PHI,Bill Giles,---,"","",80,82,0.494,5,dnq
1986,PHI,Bill Giles,---,"","",86,75,0.534,2,dnq
1985,PHI,Bill Giles,---,"","",75,87,0.463,5,dnq
1984,PHI,Bill Giles,---,"","",81,81,0.5,4,dnq
1983,PHI,Paul Owens,---,"","",90,72,0.556,1,Lost World Series (Orioles)
1982,PHI,Paul Owens,---,"","",89,73,0.549,2,dnq
1981,PHI,Paul Owens,---,"","",59,48,0.551,0,Lost in 1st Round (Expos)
1980,PHI,Paul Owens,---,"","",91,71,0.562,1,Won World Series (Royals)
1979,PHI,Paul Owens,---,"","",84,78,0.519,4,dnq
1978,PHI,Paul Owens,---,"","",90,72,0.556,1,Lost NLCS (Dodgers)
1977,PHI,Paul Owens,---,"","",101,61,0.623,1,Lost NLCS (Dodgers)
1976,PHI,Paul Owens,---,"","",101,61,0.623,1,Lost NLCS (Reds)
1975,PHI,Paul Owens,---,"","",86,76,0.531,2,dnq
1974,PHI,Paul Owens,---,"","",80,82,0.494,3,dnq
1973,PHI,Paul Owens,---,"","",71,91,0.438,6,dnq
1972,PHI,John Quinn,---,"","",59,97,0.378,6,dnq
1971,PHI,John Quinn,---,"","",67,95,0.414,6,dnq
1970,PHI,John Quinn,---,"","",73,88,0.453,5,dnq
1969,PHI,John Quinn,---,"","",63,99,0.389,5,dnq
1968,PHI,John Quinn,---,"","",76,86,0.469,7,dnq
1967,PHI,John Quinn,---,"","",82,80,0.506,5,dnq
1966,PHI,John Quinn,---,"","",87,75,0.537,4,dnq
1965,PHI,John Quinn,---,"","",85,76,0.528,6,dnq
1964,PHI,John Quinn,---,"","",92,70,0.568,2,dnq
1963,PHI,John Quinn,---,"","",87,75,0.537,4,dnq
1962,PHI,John Quinn,---,"","",81,80,0.503,7,dnq
1961,PHI,John Quinn,---,"","",47,107,0.305,8,dnq
1960,PHI,John Quinn,---,"","",59,95,0.383,8,dnq
1959,PHI,John Quinn,---,"","",64,90,0.416,8,dnq
1958,PHI,Roy Hamey,---,"","",69,85,0.448,8,dnq
1957,PHI,Roy Hamey,---,"","",77,77,0.5,5,dnq
1956,PHI,Roy Hamey,---,"","",71,83,0.461,5,dnq
1955,PHI,Roy Hamey,---,"","",77,77,0.5,4,dnq
1954,PHI,Roy Hamey,---,"","",75,79,0.487,4,dnq
1953,PHI,Bob Carpenter,---,"","",83,71,0.539,4,dnq
1952,PHI,Bob Carpenter,---,"","",87,67,0.565,4,dnq
1951,PHI,Bob Carpenter,---,"","",73,81,0.474,5,dnq
1950,PHI,Bob Carpenter,---,"","",91,63,0.591,1,Lost World Series (Yankees)
2021,PIT,Ben Cherington,---,"","",0,0,---,5,---
2020,PIT,Ben Cherington,---,"","",19,41,0.317,5,dnq
2019,PIT,Neal Huntington,---,"","",69,93,0.426,5,dnq
2018,PIT,Neal Huntington,---,"","",82,79,0.509,4,dnq
2017,PIT,Neal Huntington,---,"","",75,87,0.463,4,dnq
2016,PIT,Neal Huntington,---,"","",78,83,0.484,3,dnq
2015,PIT,Neal Huntington,---,"","",98,64,0.605,2,Lost NL Wild-Card Game (Cubs)
2014,PIT,Neal Huntington,---,"","",88,74,0.543,2,Lost NL Wild-Card Game (Giants)
2013,PIT,Neal Huntington,---,"","",94,68,0.58,2,Lost in 1st Round (Cardinals)
2012,PIT,Neal Huntington,---,"","",79,83,0.488,4,dnq
2011,PIT,Neal Huntington,---,"","",72,90,0.444,4,dnq
2010,PIT,Neal Huntington,---,"","",57,105,0.352,6,dnq
2009,PIT,Neal Huntington,---,"","",62,99,0.385,6,dnq
2008,PIT,Neal Huntington,---,"","",67,95,0.414,6,dnq
2007,PIT,Neal Huntington,---,"","",68,94,0.42,6,dnq
2006,PIT,Dave Littlefield,A+,"",1978-1980,67,95,0.414,5,dnq
2005,PIT,Dave Littlefield,A+,"",1978-1980,67,95,0.414,6,dnq
2004,PIT,Dave Littlefield,A+,"",1978-1980,72,89,0.447,5,dnq
2003,PIT,Dave Littlefield,A+,"",1978-1980,75,87,0.463,4,dnq
2002,PIT,Dave Littlefield,A+,"",1978-1980,72,89,0.447,4,dnq
2001,PIT,Cam Bonifay,---,"","",62,100,0.383,6,dnq
2001,PIT,Dave Littlefield,A+,"",1978-1980,62,100,0.383,6,dnq
2000,PIT,Cam Bonifay,---,"","",69,93,0.426,5,dnq
1999,PIT,Cam Bonifay,---,"","",78,83,0.484,3,dnq
1998,PIT,Cam Bonifay,---,"","",69,93,0.426,6,dnq
1997,PIT,Cam Bonifay,---,"","",79,83,0.488,2,dnq
1996,PIT,Cam Bonifay,---,"","",73,89,0.451,5,dnq
1995,PIT,Cam Bonifay,---,"","",58,86,0.403,5,dnq
1994,PIT,Cam Bonifay,---,"","",53,61,0.465,3,dnq
1993,PIT,Ted Simmons,MLB,1968-1988,1968-1988,75,87,0.463,5,dnq
1992,PIT,Ted Simmons,MLB,1968-1988,1968-1988,96,66,0.593,1,Lost NLCS (Braves)
1991,PIT,Larry Doughty,---,"","",98,64,0.605,1,Lost NLCS (Braves)
1990,PIT,Larry Doughty,---,"","",95,67,0.586,1,Lost NLCS (Reds)
1989,PIT,Larry Doughty,---,"","",74,88,0.457,5,dnq
1988,PIT,Syd Thrift,---,"","",85,75,0.531,2,dnq
1987,PIT,Syd Thrift,---,"","",80,82,0.494,4,dnq
1986,PIT,Syd Thrift,---,"","",64,98,0.395,6,dnq
1985,PIT,Hardy Peterson,MLB,1955-1959,1955-1959,57,104,0.354,6,dnq
1984,PIT,Hardy Peterson,MLB,1955-1959,1955-1959,75,87,0.463,6,dnq
1983,PIT,Hardy Peterson,MLB,1955-1959,1955-1959,84,78,0.519,2,dnq
1982,PIT,Hardy Peterson,MLB,1955-1959,1955-1959,84,78,0.519,4,dnq
1981,PIT,Hardy Peterson,MLB,1955-1959,1955-1959,46,56,0.451,0,dnq
1980,PIT,Hardy Peterson,MLB,1955-1959,1955-1959,83,79,0.512,3,dnq
1979,PIT,Hardy Peterson,MLB,1955-1959,1955-1959,98,64,0.605,1,Won World Series (Orioles)
1978,PIT,Hardy Peterson,MLB,1955-1959,1955-1959,88,73,0.547,2,dnq
1978,PIT,Joseph O'Toole,---,"","",88,73,0.547,2,dnq
1977,PIT,Hardy Peterson,MLB,1955-1959,1955-1959,96,66,0.593,2,dnq
1977,PIT,Joseph O'Toole,---,"","",96,66,0.593,2,dnq
1976,PIT,Joe Brown,---,"","",92,70,0.568,2,dnq
1975,PIT,Joe Brown,---,"","",92,69,0.571,1,Lost NLCS (Reds)
1974,PIT,Joe Brown,---,"","",88,74,0.543,1,Lost NLCS (Dodgers)
1973,PIT,Joe Brown,---,"","",80,82,0.494,3,dnq
1972,PIT,Joe Brown,---,"","",96,59,0.619,1,Lost NLCS (Reds)
1971,PIT,Joe Brown,---,"","",97,65,0.599,1,Won World Series (Orioles)
1970,PIT,Joe Brown,---,"","",89,73,0.549,1,Lost NLCS (Reds)
1969,PIT,Joe Brown,---,"","",88,74,0.543,3,dnq
1968,PIT,Joe Brown,---,"","",80,82,0.494,6,dnq
1967,PIT,Joe Brown,---,"","",81,81,0.5,6,dnq
1966,PIT,Joe Brown,---,"","",92,70,0.568,3,dnq
1965,PIT,Joe Brown,---,"","",90,72,0.556,3,dnq
1964,PIT,Joe Brown,---,"","",80,82,0.494,6,dnq
1963,PIT,Joe Brown,---,"","",74,88,0.457,8,dnq
1962,PIT,Joe Brown,---,"","",93,68,0.578,4,dnq
1961,PIT,Joe Brown,---,"","",75,79,0.487,6,dnq
1960,PIT,Joe Brown,---,"","",95,59,0.617,1,Won World Series (Yankees)
1959,PIT,Joe Brown,---,"","",78,76,0.506,4,dnq
1958,PIT,Joe Brown,---,"","",84,70,0.545,2,dnq
1957,PIT,Joe Brown,---,"","",62,92,0.403,7,dnq
1956,PIT,Joe Brown,---,"","",66,88,0.429,7,dnq
1955,PIT,Branch Rickey,MLB,1905-1914,1905-1914,60,94,0.39,8,dnq
1954,PIT,Branch Rickey,MLB,1905-1914,1905-1914,53,101,0.344,8,dnq
1953,PIT,Branch Rickey,MLB,1905-1914,1905-1914,50,104,0.325,8,dnq
1952,PIT,Branch Rickey,MLB,1905-1914,1905-1914,42,112,0.273,8,dnq
1951,PIT,Branch Rickey,MLB,1905-1914,1905-1914,64,90,0.416,7,dnq
1950,PIT,Roy Hamey,---,"","",57,96,0.373,8,dnq
1949,PIT,Roy Hamey,---,"","",71,83,0.461,6,dnq
1948,PIT,Roy Hamey,---,"","",83,71,0.539,4,dnq
1947,PIT,Roy Hamey,---,"","",62,92,0.403,7,dnq
1946,PIT,Roy Hamey,---,"","",63,91,0.409,7,dnq
2021,SDP,AJ Preller,---,"","",0,0,---,2,---
2020,SDP,AJ Preller,---,"","",37,23,0.617,2,Lost in Division Series (Dodgers)
2019,SDP,AJ Preller,---,"","",70,92,0.432,5,dnq
2018,SDP,AJ Preller,---,"","",66,96,0.407,5,dnq
2017,SDP,AJ Preller,---,"","",71,91,0.438,4,dnq
2016,SDP,AJ Preller,---,"","",68,94,0.42,5,dnq
2015,SDP,AJ Preller,---,"","",74,88,0.457,4,dnq
2014,SDP,Josh Byrnes,---,"","",77,85,0.475,3,dnq
2014,SDP,AJ Preller,---,"","",77,85,0.475,3,dnq
2013,SDP,Josh Byrnes,---,"","",76,86,0.469,4,dnq
2012,SDP,Josh Byrnes,---,"","",76,86,0.469,4,dnq
2011,SDP,Jed Hoyer,---,"","",71,91,0.438,5,dnq
2010,SDP,Jed Hoyer,---,"","",90,72,0.556,2,dnq
2009,SDP,Kevin Towers,AAA,"",1982-1989,75,87,0.463,4,dnq
2008,SDP,Kevin Towers,AAA,"",1982-1989,63,99,0.389,5,dnq
2007,SDP,Kevin Towers,AAA,"",1982-1989,89,74,0.546,3,dnq
2006,SDP,Kevin Towers,AAA,"",1982-1989,88,74,0.543,1,Lost NLDS (Cardinals)
2005,SDP,Kevin Towers,AAA,"",1982-1989,82,80,0.506,1,Lost NLDS (Cardinals)
2004,SDP,Kevin Towers,AAA,"",1982-1989,87,75,0.537,3,dnq
2003,SDP,Kevin Towers,AAA,"",1982-1989,64,98,0.395,5,dnq
2002,SDP,Kevin Towers,AAA,"",1982-1989,66,96,0.407,5,dnq
2001,SDP,Kevin Towers,AAA,"",1982-1989,79,83,0.488,4,dnq
2000,SDP,Kevin Towers,AAA,"",1982-1989,76,86,0.469,5,dnq
1999,SDP,Kevin Towers,AAA,"",1982-1989,74,88,0.457,4,dnq
1998,SDP,Kevin Towers,AAA,"",1982-1989,98,64,0.605,1,Lost World Series (Yankees)
1997,SDP,Kevin Towers,AAA,"",1982-1989,76,86,0.469,4,dnq
1996,SDP,Kevin Towers,AAA,"",1982-1989,91,71,0.562,1,Lost in 1st Round (Cardinals)
1995,SDP,Randy Smith,---,"","",70,74,0.486,3,dnq
1994,SDP,Randy Smith,---,"","",47,70,0.402,4,dnq
1993,SDP,Joe McIlvaine,---,"","",61,101,0.377,7,dnq
1992,SDP,Joe McIlvaine,---,"","",82,80,0.506,3,dnq
1991,SDP,Joe McIlvaine,---,"","",84,78,0.519,3,dnq
1990,SDP,Jack McKeon,---,"","",75,87,0.463,4,dnq
1989,SDP,Jack McKeon,---,"","",89,73,0.549,2,dnq
1988,SDP,Jack McKeon,---,"","",83,78,0.516,3,dnq
1987,SDP,Jack McKeon,---,"","",65,97,0.401,6,dnq
1986,SDP,Jack McKeon,---,"","",74,88,0.457,4,dnq
1985,SDP,Jack McKeon,---,"","",83,79,0.512,3,dnq
1984,SDP,Jack McKeon,---,"","",92,70,0.568,1,Lost World Series (Tigers)
1983,SDP,Jack McKeon,---,"","",81,81,0.5,4,dnq
1982,SDP,Jack McKeon,---,"","",81,81,0.5,4,dnq
1981,SDP,Jack McKeon,---,"","",41,69,0.373,0,dnq
1980,SDP,Bob Fontaine,---,"","",73,89,0.451,6,dnq
1979,SDP,Bob Fontaine,---,"","",68,93,0.422,5,dnq
1978,SDP,Bob Fontaine,---,"","",84,78,0.519,4,dnq
1977,SDP,Bob Fontaine,---,"","",69,93,0.426,5,dnq
1976,SDP,Buzzie Bavasi,---,"","",73,89,0.451,5,dnq
1975,SDP,Buzzie Bavasi,---,"","",71,91,0.438,4,dnq
1974,SDP,Buzzie Bavasi,---,"","",60,102,0.37,6,dnq
1973,SDP,Buzzie Bavasi,---,"","",60,102,0.37,6,dnq
1972,SDP,Buzzie Bavasi,---,"","",58,95,0.379,6,dnq
1971,SDP,Buzzie Bavasi,---,"","",61,100,0.379,6,dnq
1970,SDP,Buzzie Bavasi,---,"","",63,99,0.389,6,dnq
1969,SDP,Buzzie Bavasi,---,"","",52,110,0.321,6,dnq
2021,SFG,Scott Harris,---,"","",0,0,---,3,---
2020,SFG,Scott Harris,---,"","",29,31,0.483,3,dnq
2019,SFG,Bobby Evans,---,"","",77,85,0.475,3,dnq
2018,SFG,Bobby Evans,---,"","",73,89,0.451,4,dnq
2017,SFG,Bobby Evans,---,"","",64,98,0.395,5,dnq
2016,SFG,Brian Sabean,---,"","",87,75,0.537,2,Lost in 1st Round (Cubs)
2015,SFG,Brian Sabean,---,"","",84,78,0.519,2,dnq
2014,SFG,Brian Sabean,---,"","",88,74,0.543,2,Won World Series (Royals)
2013,SFG,Brian Sabean,---,"","",76,86,0.469,3,dnq
2012,SFG,Brian Sabean,---,"","",94,68,0.58,1,Won World Series (Tigers)
2011,SFG,Brian Sabean,---,"","",86,76,0.531,2,dnq
2010,SFG,Brian Sabean,---,"","",92,70,0.568,1,Won World Series (Rangers)
2009,SFG,Brian Sabean,---,"","",88,74,0.543,3,dnq
2008,SFG,Brian Sabean,---,"","",72,90,0.444,4,dnq
2007,SFG,Brian Sabean,---,"","",71,91,0.438,5,dnq
2006,SFG,Brian Sabean,---,"","",76,85,0.472,3,dnq
2005,SFG,Brian Sabean,---,"","",75,87,0.463,3,dnq
2004,SFG,Brian Sabean,---,"","",91,71,0.562,2,dnq
2003,SFG,Brian Sabean,---,"","",100,61,0.621,1,Lost in 1st Round (Marlins)
2002,SFG,Brian Sabean,---,"","",95,66,0.59,2,Lost World Series (Angels)
2001,SFG,Brian Sabean,---,"","",90,72,0.556,2,dnq
2000,SFG,Brian Sabean,---,"","",97,65,0.599,1,Lost in 1st Round (Mets)
1999,SFG,Brian Sabean,---,"","",86,76,0.531,2,dnq
1998,SFG,Brian Sabean,---,"","",89,74,0.546,2,dnq
1997,SFG,Brian Sabean,---,"","",90,72,0.556,1,Lost in 1st Round (Marlins)
1996,SFG,Bob Quinn,---,"","",68,94,0.42,4,dnq
1995,SFG,Bob Quinn,---,"","",67,77,0.465,4,dnq
1994,SFG,Bob Quinn,---,"","",55,60,0.478,2,dnq
1993,SFG,Bob Quinn,---,"","",103,59,0.636,2,dnq
1992,SFG,Al Rosen,MLB,1947-1956,1947-1956,72,90,0.444,5,dnq
1991,SFG,Al Rosen,MLB,1947-1956,1947-1956,75,87,0.463,4,dnq
1990,SFG,Al Rosen,MLB,1947-1956,1947-1956,85,77,0.525,3,dnq
1989,SFG,Al Rosen,MLB,1947-1956,1947-1956,92,70,0.568,1,Lost World Series (Athletics)
1988,SFG,Al Rosen,MLB,1947-1956,1947-1956,83,79,0.512,4,dnq
1987,SFG,Al Rosen,MLB,1947-1956,1947-1956,90,72,0.556,1,Lost NLCS (Cardinals)
1986,SFG,Al Rosen,MLB,1947-1956,1947-1956,83,79,0.512,3,dnq
1985,SFG,Tom Haller,MLB,1961-1972,1961-1972,62,100,0.383,6,dnq
1984,SFG,Tom Haller,MLB,1961-1972,1961-1972,66,96,0.407,6,dnq
1983,SFG,Tom Haller,MLB,1961-1972,1961-1972,79,83,0.488,5,dnq
1982,SFG,Tom Haller,MLB,1961-1972,1961-1972,87,75,0.537,3,dnq
1981,SFG,Spec Richardson,---,"","",56,55,0.505,0,dnq
1980,SFG,Spec Richardson,---,"","",75,86,0.466,5,dnq
1979,SFG,Spec Richardson,---,"","",71,91,0.438,4,dnq
1978,SFG,Spec Richardson,---,"","",89,73,0.549,3,dnq
1977,SFG,Spec Richardson,---,"","",75,87,0.463,4,dnq
1976,SFG,Spec Richardson,---,"","",74,88,0.457,4,dnq
1975,SFG,Horace Stoneham,---,"","",80,81,0.497,3,dnq
1974,SFG,Horace Stoneham,---,"","",72,90,0.444,5,dnq
1973,SFG,Horace Stoneham,---,"","",88,74,0.543,3,dnq
1972,SFG,Horace Stoneham,---,"","",69,86,0.445,5,dnq
1971,SFG,Horace Stoneham,---,"","",90,72,0.556,1,Lost NLCS (Pirates)
1970,SFG,Horace Stoneham,---,"","",86,76,0.531,3,dnq
1969,SFG,Horace Stoneham,---,"","",90,72,0.556,2,dnq
1969,SFG,Chub Feeney,---,"","",90,72,0.556,2,dnq
1968,SFG,Chub Feeney,---,"","",88,74,0.543,2,dnq
1967,SFG,Chub Feeney,---,"","",91,71,0.562,2,dnq
1966,SFG,Chub Feeney,---,"","",93,68,0.578,2,dnq
1965,SFG,Chub Feeney,---,"","",95,67,0.586,2,dnq
1964,SFG,Chub Feeney,---,"","",90,72,0.556,4,dnq
1963,SFG,Chub Feeney,---,"","",88,74,0.543,3,dnq
1962,SFG,Chub Feeney,---,"","",103,62,0.624,1,Lost World Series (Yankees)
1961,SFG,Chub Feeney,---,"","",85,69,0.552,3,dnq
1960,SFG,Chub Feeney,---,"","",79,75,0.513,5,dnq
1959,SFG,Chub Feeney,---,"","",83,71,0.539,3,dnq
1958,SFG,Chub Feeney,---,"","",80,74,0.519,3,dnq
1957,NYG,Chub Feeney,---,"","",69,85,0.448,6,dnq
1956,NYG,Chub Feeney,---,"","",67,87,0.435,6,dnq
1955,NYG,Chub Feeney,---,"","",80,74,0.519,3,dnq
1954,NYG,Chub Feeney,---,"","",97,57,0.63,1,Won World Series (Indians)
1953,NYG,Chub Feeney,---,"","",70,84,0.455,5,dnq
